learning_rate,gamma,batch_size,n_steps,clip_range,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,epilen_ratio,gap,algorithm,gae_lambda,vf_coef,tau,buffer_size,ent_coef
0.0003651551060224,0.9964723364422732,128.0,512.0,0.2525796821997089,440.37810895,174.96928988549206,134.71872739009558,154.5943350869748,-305.65938155990443,0.3279077117572693,-305.65938155990443,0,,,,,
0.0023186458523844,0.9459193084091184,128.0,1024.0,0.206199430082219,258.2064041,15.75909660144635,181.6776381498668,266.6582551125159,-76.52876595013316,1.0587207270185248,-76.52876595013319,0,,,,,
0.0010364967265391,0.8081484977696624,64.0,1024.0,0.1358121774023753,444.3502813,5.126973535373787,95.11345269837184,58.6641014902842,-349.2368286016282,0.3811420982735723,-349.2368286016282,0,,,,,
0.0007182152833328,0.9255965998227303,64.0,2048.0,0.2706213008557063,436.3399394499999,6.676914480563414,82.89652137923986,62.80611631329297,-353.44341807076006,0.2936568107151883,-353.44341807076006,0,,,,,
0.0023539751256047,0.827942359673881,256.0,1024.0,0.226623795876505,403.2035168000001,16.050579032088677,96.47215318067464,64.73660816427386,-306.7313636193254,0.3273228149261207,-306.73136361932546,0,,,,,
0.0037192013667969,0.9773005830869956,64.0,1024.0,0.1843197642962593,369.6263891,219.70000275079087,141.76997705339454,208.28861240832208,-227.85641204660544,0.4144805876180483,-227.85641204660544,0,,,,,
0.0062298101343151,0.9283801480461676,256.0,2048.0,0.1543699654884516,946.37534205,133.46761278261644,143.84549114776308,200.56203784730167,-802.5298509022371,0.1212917761922643,-802.5298509022368,0,,,,,
0.0001244404854128,0.871418952773135,256.0,2048.0,0.1528463728974392,290.3414642,7.37052960291155,135.63855314427056,203.7198534331349,-154.7029110557294,0.6168964505720154,-154.70291105572946,0,,,,,
0.0028030181782656,0.8414154054637765,128.0,128.0,0.1342927835576087,182.9242374,85.9008913919674,26.35944506699452,27.487557325608147,-156.5647923330055,0.1088659793814433,-156.5647923330055,0,,,,,
0.0009713098675745,0.8897977681037162,256.0,2048.0,0.2089224516910953,400.0374064,7.328133191604285,115.14325896392111,207.94576808102607,-284.8941474360789,0.4949169352839077,-284.8941474360789,0,,,,,
0.0028804682584285,0.8835400303729526,128.0,128.0,0.252788804598494,331.21154190000004,243.93534337690383,94.46212553406076,43.95457333354676,-236.74941636593928,0.2750310118731171,-236.74941636593928,0,,,,,
0.0057302510655119,0.8791255189341415,128.0,2048.0,0.2576800664961479,416.40622225,33.79081847317978,137.30991470772716,202.88669225278127,-279.0963075422729,0.5184461275348154,-279.0963075422728,0,,,,,
0.0009115093151574,0.8934960080470116,64.0,512.0,0.2313094653855984,409.3222325,26.21476428418801,145.604354615591,200.28305191679684,-263.7178778844089,0.586856851757514,-263.71787788440895,0,,,,,
0.0009670801042366,0.9644567024302458,256.0,512.0,0.1228218606066566,405.4269587,8.125330150016001,102.71664354754613,56.10711284681021,-302.71031515245386,0.3393955603102434,-302.71031515245386,0,,,,,
0.000144789255481,0.9921683405419456,256.0,512.0,0.2577274020268426,262.3528738,3.2676482758992664,144.362665726454,204.56545369643047,-117.990208073546,0.7693920335429769,-117.990208073546,0,,,,,
0.0018991066199493,0.875261654315908,256.0,1024.0,0.2905704585365837,510.47878025,17.787970346185986,128.4020323293982,205.56245070421065,-382.0767479206018,0.4729325040313292,-382.0767479206018,0,,,,,
0.0079713741685347,0.9166252193898816,128.0,2048.0,0.1439755344679396,306.42993670000004,75.84435640394214,161.30220134742558,197.40608130975232,-145.12773535257446,0.5721283370071026,-145.12773535257446,0,,,,,
0.0011484425234872,0.8504911079701507,256.0,128.0,0.2873953565686941,295.9426422,27.12637897121149,107.1521764661884,50.0642597335582,-188.79046573381163,0.3890929641141565,-188.79046573381163,0,,,,,
0.0004044637966689,0.8294493962277788,256.0,128.0,0.2090018498490853,401.2714757,9.558319048932104,120.32609095866792,71.00336057707763,-280.9453847413321,0.3711194731890875,-280.9453847413321,0,,,,,
