algorithm,learning_rate,gamma,clip_range,n_steps,gae_lambda,vf_coef,tau,buffer_size,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,seed_repetition,seed_value,generalization_gap
0,0.0019075519825888,0.9618415123968972,0.1296428545724627,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0,70316,0.0
0,0.0019075519825888,0.9618415123968972,0.1296428545724627,2048.0,,,,,,1000.0,0.0,1000.0,0.0,1,66085,0.0
0,0.0019075519825888,0.9618415123968972,0.1296428545724627,2048.0,,,,,,1000.0,0.0,1000.0,0.0,2,89906,0.0
0,0.0003434591158135,0.9386331678416228,0.1673277498165435,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0,73600,0.0
0,0.0003434591158135,0.9386331678416228,0.1673277498165435,1024.0,,,,,,1000.0,0.0,1000.0,0.0,1,34046,0.0
0,0.0003434591158135,0.9386331678416228,0.1673277498165435,1024.0,,,,,,1000.0,0.0,1000.0,0.0,2,565,0.0
0,0.0008023442950552,0.9782084978456302,0.2153083153925957,1024.0,,,,,,1000.0,0.0,1000.0,0.0,0,83162,0.0
0,0.0008023442950552,0.9782084978456302,0.2153083153925957,1024.0,,,,,,1000.0,0.0,1000.0,0.0,1,61845,0.0
0,0.0008023442950552,0.9782084978456302,0.2153083153925957,1024.0,,,,,,1000.0,0.0,1000.0,0.0,2,2732,0.0
0,0.0061781029590506,0.906829240994712,0.1432507474820656,512.0,,,,,,1000.0,0.0,1000.0,0.0,0,94356,0.0
0,0.0061781029590506,0.906829240994712,0.1432507474820656,512.0,,,,,,1000.0,0.0,1000.0,0.0,1,81322,0.0
0,0.0061781029590506,0.906829240994712,0.1432507474820656,512.0,,,,,,197.7,4.290687590584986,977.3,68.1,2,27551,-779.5999999999999
0,0.0022058214680301,0.9226757407017036,0.2709789859227788,512.0,,,,,,1000.0,0.0,1000.0,0.0,0,60361,0.0
0,0.0022058214680301,0.9226757407017036,0.2709789859227788,512.0,,,,,,1000.0,0.0,1000.0,0.0,1,7047,0.0
0,0.0022058214680301,0.9226757407017036,0.2709789859227788,512.0,,,,,,1000.0,0.0,1000.0,0.0,2,15911,0.0
0,0.0063690137957468,0.990673774704548,0.2222901510598,128.0,,,,,,218.0,98.72790892143924,730.9,64.86054270509922,0,5491,-512.9
0,0.0063690137957468,0.990673774704548,0.2222901510598,128.0,,,,,,1000.0,0.0,1000.0,0.0,1,82030,0.0
0,0.0063690137957468,0.990673774704548,0.2222901510598,128.0,,,,,,172.3,104.99623802784556,130.9,58.05936616946486,2,74400,41.400000000000006
0,0.0055804940436258,0.8362927553532655,0.159226142818402,128.0,,,,,,28.6,2.90516780926679,70.0,12.561846997953763,0,22613,-41.4
0,0.0055804940436258,0.8362927553532655,0.159226142818402,128.0,,,,,,1000.0,0.0,918.9,243.3,1,49694,81.10000000000002
0,0.0055804940436258,0.8362927553532655,0.159226142818402,128.0,,,,,,809.3,381.4289055643266,86.8,3.9949968710876353,2,99894,722.5
0,0.0013354223130776,0.8563387124138986,0.1979491735748033,2048.0,,,,,,1000.0,0.0,1000.0,0.0,0,79609,0.0
0,0.0013354223130776,0.8563387124138986,0.1979491735748033,2048.0,,,,,,1000.0,0.0,1000.0,0.0,1,5490,0.0
0,0.0013354223130776,0.8563387124138986,0.1979491735748033,2048.0,,,,,,1000.0,0.0,1000.0,0.0,2,95548,0.0
0,0.0006806839724468,0.8770407133383409,0.2177716108846157,512.0,,,,,,1000.0,0.0,1000.0,0.0,0,79986,0.0
0,0.0006806839724468,0.8770407133383409,0.2177716108846157,512.0,,,,,,1000.0,0.0,1000.0,0.0,1,49347,0.0
0,0.0006806839724468,0.8770407133383409,0.2177716108846157,512.0,,,,,,1000.0,0.0,508.4,491.6002847842951,2,92428,491.6
0,0.0010985167094521,0.8813242376945771,0.1591763956513842,128.0,,,,,,1000.0,0.0,1000.0,0.0,0,52264,0.0
0,0.0010985167094521,0.8813242376945771,0.1591763956513842,128.0,,,,,,1000.0,0.0,1000.0,0.0,1,37185,0.0
0,0.0010985167094521,0.8813242376945771,0.1591763956513842,128.0,,,,,,1000.0,0.0,1000.0,0.0,2,53278,0.0
0,0.0021584414161878,0.8985995106661667,0.1567029267526221,128.0,,,,,,1000.0,0.0,1000.0,0.0,0,87956,0.0
0,0.0021584414161878,0.8985995106661667,0.1567029267526221,128.0,,,,,,1000.0,0.0,802.9,394.2000634195789,1,58565,197.10000000000002
0,0.0021584414161878,0.8985995106661667,0.1567029267526221,128.0,,,,,,1000.0,0.0,1000.0,0.0,2,1740,0.0
0,0.0014464686856163,0.838333208006383,0.2672859485245273,128.0,,,,,,53.9,11.317685275708987,1000.0,0.0,0,94587,-946.1
0,0.0014464686856163,0.838333208006383,0.2672859485245273,128.0,,,,,,1000.0,0.0,1000.0,0.0,1,12213,0.0
0,0.0014464686856163,0.838333208006383,0.2672859485245273,128.0,,,,,,1000.0,0.0,688.7,312.9929871418847,2,56312,311.29999999999995
0,0.0055596076795578,0.8743431560510977,0.2955176750864853,1024.0,,,,,,146.8,3.3105890714493698,360.1,11.379367293483412,0,95852,-213.3
0,0.0055596076795578,0.8743431560510977,0.2955176750864853,1024.0,,,,,,1000.0,0.0,1000.0,0.0,1,10265,0.0
0,0.0055596076795578,0.8743431560510977,0.2955176750864853,1024.0,,,,,,173.0,2.932575659723036,1000.0,0.0,2,47848,-827.0
0,0.0052087493330267,0.8831149934833367,0.1931209745848618,512.0,,,,,,508.6,6.974238309665077,1000.0,0.0,0,3661,-491.4
0,0.0052087493330267,0.8831149934833367,0.1931209745848618,512.0,,,,,,1000.0,0.0,1000.0,0.0,1,69997,0.0
0,0.0052087493330267,0.8831149934833367,0.1931209745848618,512.0,,,,,,1000.0,0.0,1000.0,0.0,2,23483,0.0
