algorithm,learning_rate,gamma,clip_range,n_steps,gae_lambda,vf_coef,tau,buffer_size,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,n_seeds
0,0.0002095113035228,0.8736057462340081,0.2873158918883623,128.0,,,,,,602.0026624000001,288.55442706859793,21.09722827647911,89.96445153061404,580.905434123521,3
0,0.0001703767008955,0.9452350789792406,0.2415053405480334,1024.0,,,,,,430.69521103333335,210.1285768232428,-88.60825279580747,64.25032085612114,519.3034638291408,3
0,0.0023516692930913,0.8954043464862861,0.1400770299783923,128.0,,,,,,87.28276269999999,208.82411833486444,-374.36514802687617,79.74046809093153,461.6479107268762,3
0,0.0044190724020238,0.945450756354606,0.2935941072848833,128.0,,,,,,-554.7935315,117.44721379031863,-317.63834578423086,45.71704326579769,-237.15518571576914,3
0,0.0046704686537895,0.8155226483676866,0.293781564659182,2048.0,,,,,,67.26552663333334,118.69085033340598,-285.83619005430006,66.80398461462032,353.10171668763337,3
0,0.0063626676499669,0.8855218345536157,0.1884329858170306,2048.0,,,,,,-151.61471176666666,75.65066802322085,-294.5852583063514,92.99172976282482,142.97054653968473,3
0,0.0003754971176709,0.9824286197891215,0.1447415335353322,1024.0,,,,,,672.5513036000001,69.6899268902337,-130.0649321625426,49.53443742906847,802.6162357625426,3
0,0.0011915464599363,0.8085879601542976,0.2926260274073114,512.0,,,,,,271.6888109666666,178.18462643032106,-39.42514300689848,122.00148558206921,311.1139539735652,3
0,0.0029673422425156,0.8844352446361392,0.1697639727859065,1024.0,,,,,,-149.04059733333335,87.9715909265612,-75.51346668361168,96.46960535458645,-73.52713064972166,3
0,0.000924287482503,0.9372854238731894,0.1235691344541732,2048.0,,,,,,211.85518563333335,195.04524315528724,-161.6322412959305,65.26053565095424,373.48742692926385,3
0,0.0001484411715819,0.8397366388978146,0.1425886790619978,1024.0,,,,,,765.1641025333333,198.32487767571476,162.797202894096,63.3387853758104,602.3668996392373,3
0,0.0005268625872191,0.9141837865179304,0.1671570203347807,2048.0,,,,,,622.2135401666666,104.03391456098113,-153.39590634578886,80.24065780958809,775.6094465124555,3
